State,Year,Population,Latitude,Longitude,Code,income
Idaho,2021,1900923,44.068203,-114.742043,ID,54148
Idaho,2022,1939033,44.068203,-114.742043,ID,56614
Illinois,2014,12880580,40,-89,IL,48531
Illinois,2015,12859995,40,-89,IL,50682
Illinois,2016,12801539,40,-89,IL,51340
Illinois,2017,12802023,40,-89,IL,53049
Illinois,2018,12741080,40,-89,IL,56072
Illinois,2019,12671821,40,-89,IL,57721
Illinois,2020,12812508,40,-89,IL,61587
Illinois,2021,12671469,40,-89,IL,67278
Illinois,2022,12582032,40,-89,IL,67655
Indiana,2014,6596855,40.273502,-86.126976,IN,40721
Indiana,2015,6619680,40.273502,-86.126976,IN,42149
Indiana,2016,6633053,40.273502,-86.126976,IN,43145
Indiana,2017,6666818,40.273502,-86.126976,IN,44570
Indiana,2018,6691878,40.273502,-86.126976,IN,46556
Indiana,2019,6732219,40.273502,-86.126976,IN,48270
Indiana,2020,6785528,40.273502,-86.126976,IN,51719
Indiana,2021,6805985,40.273502,-86.126976,IN,56934
Indiana,2022,6833037,40.273502,-86.126976,IN,58323
Iowa,2014,3107126,42.032974,-93.581543,IA,44123
Iowa,2015,3123899,42.032974,-93.581543,IA,45445
Iowa,2016,3134693,42.032974,-93.581543,IA,45672
Iowa,2017,3145711,42.032974,-93.581543,IA,46769
Iowa,2018,3156145,42.032974,-93.581543,IA,48775
Iowa,2019,3155070,42.032974,-93.581543,IA,49663
Iowa,2020,3190369,42.032974,-93.581543,IA,52586
Iowa,2021,3193079,42.032974,-93.581543,IA,58049
Iowa,2022,3200517,42.032974,-93.581543,IA,60222
Kansas,2014,2904021,38.5,-98,KS,46290
Kansas,2015,2911641,38.5,-98,KS,46597
Kansas,2016,2907289,38.5,-98,KS,46718
Kansas,2017,2913123,38.5,-98,KS,48272
Kansas,2018,2911510,38.5,-98,KS,50283
Kansas,2019,2913314,38.5,-98,KS,52127
Kansas,2020,2937880,38.5,-98,KS,55041
Kansas,2021,2934582,38.5,-98,KS,58569
Kansas,2022,2937150,38.5,-98,KS,60424
Kentucky,2014,4413457,37.839333,-84.27002,KY,37226
Kentucky,2015,4425092,37.839333,-84.27002,KY,38768
Kentucky,2016,4436974,37.839333,-84.27002,KY,39321
Kentucky,2017,4454189,37.839333,-84.27002,KY,40404
Kentucky,2018,4468402,37.839333,-84.27002,KY,41658
Kentucky,2019,4467673,37.839333,-84.27002,KY,43445
Kentucky,2020,4505836,37.839333,-84.27002,KY,47026
Kentucky,2021,4509394,37.839333,-84.27002,KY,51561
Kentucky,2022,4512310,37.839333,-84.27002,KY,51921
Louisiana,2014,4649676,30.39183,-92.329102,LA,42533
Louisiana,2015,4670724,30.39183,-92.329102,LA,42484
Louisiana,2016,4681666,30.39183,-92.329102,LA,42132
Louisiana,2017,4684333,30.39183,-92.329102,LA,43486
Louisiana,2018,4659978,30.39183,-92.329102,LA,45464
Louisiana,2019,4648794,30.39183,-92.329102,LA,47009
Louisiana,2020,4657757,30.39183,-92.329102,LA,50243
Louisiana,2021,4624047,30.39183,-92.329102,LA,54531
Louisiana,2022,4590241,30.39183,-92.329102,LA,54501
Maine,2014,1330089,45.367584,-68.972168,ME,41140
Maine,2015,1329328,45.367584,-68.972168,ME,42943
Maine,2016,1331479,45.367584,-68.972168,ME,44238
Maine,2017,1335907,45.367584,-68.972168,ME,45909
Maine,2018,1338404,45.367584,-68.972168,ME,47732
Maine,2019,1344212,45.367584,-68.972168,ME,49976
Maine,2020,1362359,45.367584,-68.972168,ME,54301
Maine,2021,1372247,45.367584,-68.972168,ME,58687
Maine,2022,1385340,45.367584,-68.972168,ME,60599
Maryland,2014,5976407,39.045753,-76.641273,MD,53084
Maryland,2015,6006401,39.045753,-76.641273,MD,55041
Maryland,2016,6016447,39.045753,-76.641273,MD,56614
Maryland,2017,6052177,39.045753,-76.641273,MD,58251
Maryland,2018,6042718,39.045753,-76.641273,MD,59919
Maryland,2019,6045680,39.045753,-76.641273,MD,61707
Maryland,2020,6177224,39.045753,-76.641273,MD,64825
Maryland,2021,6165129,39.045753,-76.641273,MD,69052
Maryland,2022,6164660,39.045753,-76.641273,MD,70228
Massachusetts,2014,6745408,42.407211,-71.382439,MA,58141
Massachusetts,2015,6794422,42.407211,-71.382439,MA,61548
Massachusetts,2016,6811779,42.407211,-71.382439,MA,63487
Massachusetts,2017,6859819,42.407211,-71.382439,MA,66076
Massachusetts,2018,6902149,42.407211,-71.382439,MA,69195
Massachusetts,2019,6892503,42.407211,-71.382439,MA,72359
Massachusetts,2020,7029917,42.407211,-71.382439,MA,77393
Massachusetts,2021,6984723,42.407211,-71.382439,MA,83461
Massachusetts,2022,6981974,42.407211,-71.382439,MA,84561
Michigan,2014,9909877,44.182205,-84.506836,MI,40830
Michigan,2015,9922576,44.182205,-84.506836,MI,42984
Michigan,2016,9928300,44.182205,-84.506836,MI,44081
Michigan,2017,9962311,44.182205,-84.506836,MI,45264
Michigan,2018,9995915,44.182205,-84.506836,MI,47088
Michigan,2019,9986857,44.182205,-84.506836,MI,48569
Michigan,2020,10077331,44.182205,-84.506836,MI,52786
Michigan,2021,10050811,44.182205,-84.506836,MI,56601
Michigan,2022,10034118,44.182205,-84.506836,MI,57038
Minnesota,2014,5457173,46.39241,-94.63623,MN,49365
Minnesota,2015,5489594,46.39241,-94.63623,MN,51362
Minnesota,2016,5519952,46.39241,-94.63623,MN,51990
Minnesota,2017,5576606,46.39241,-94.63623,MN,53832
Minnesota,2018,5611179,46.39241,-94.63623,MN,56205
Minnesota,2019,5639632,46.39241,-94.63623,MN,57874
Minnesota,2020,5706494,46.39241,-94.63623,MN,61278
Minnesota,2021,5707390,46.39241,-94.63623,MN,66846
Minnesota,2022,5717184,46.39241,-94.63623,MN,68840
Mississippi,2014,2994079,33,-90,MS,34624
Mississippi,2015,2992333,33,-90,MS,35100
Mississippi,2016,2988726,33,-90,MS,35638
Mississippi,2017,2984100,33,-90,MS,36580
Mississippi,2018,2986530,33,-90,MS,37624
Mississippi,2019,2976149,33,-90,MS,39157
Mississippi,2020,2961279,33,-90,MS,42513
Mississippi,2021,2949965,33,-90,MS,46577
Mississippi,2022,2940057,33,-90,MS,46370
Missouri,2014,6063589,38.573936,-92.60376,MO,41380
Missouri,2015,6083672,38.573936,-92.60376,MO,42677
Missouri,2016,6093000,38.573936,-92.60376,MO,43826
Missouri,2017,6113532,38.573936,-92.60376,MO,44781
Missouri,2018,6126452,38.573936,-92.60376,MO,46680
