State and area,Year,Month,Total,Rate
Alabama,2014,1,155029 ,7.2
Alabama,2014,2,154223 ,7.1
Alabama,2014,3,153166 ,7.1
Alabama,2014,4,151835 ,7
Alabama,2014,5,150017 ,6.9
Alabama,2014,6,147853 ,6.8
Alabama,2014,7,145597 ,6.7
Alabama,2014,8,143429 ,6.6
Alabama,2014,9,141250 ,6.5
Alabama,2014,10,138693 ,6.4
Alabama,2014,11,135813 ,6.3
Alabama,2014,12,133393 ,6.2
Alabama,2015,1,131985 ,6.1
Alabama,2015,2,131673 ,6.1
Alabama,2015,3,132024 ,6.1
Alabama,2015,4,132614 ,6.1
Alabama,2015,5,133049 ,6.1
Alabama,2015,6,132988 ,6.2
Alabama,2015,7,132483 ,6.2
Alabama,2015,8,131805 ,6.2
Alabama,2015,9,131083 ,6.1
Alabama,2015,10,130565 ,6.1
Alabama,2015,11,130370 ,6.1
Alabama,2015,12,130175 ,6.1
Alabama,2016,1,129747 ,6.1
Alabama,2016,2,129076 ,6
Alabama,2016,3,128044 ,6
Alabama,2016,4,126915 ,5.9
Alabama,2016,5,126223 ,5.9
Alabama,2016,6,126105 ,5.9
Alabama,2016,7,126331 ,5.9
Alabama,2016,8,126719 ,5.9
Alabama,2016,9,127128 ,5.9
Alabama,2016,10,126983 ,5.9
Alabama,2016,11,125661 ,5.8
Alabama,2016,12,122937 ,5.7
Alabama,2017,1,120103 ,5.5
Alabama,2017,2,115408 ,5.2
Alabama,2017,3,110588 ,5
Alabama,2017,4,105981 ,4.8
Alabama,2017,5,101609 ,4.6
Alabama,2017,6,97770 ,4.4
Alabama,2017,7,94743 ,4.3
Alabama,2017,8,92374 ,4.2
Alabama,2017,9,90569 ,4.1
Alabama,2017,10,89320 ,4
Alabama,2017,11,88709 ,4
Alabama,2017,12,88497 ,4
Alabama,2018,1,88075 ,4
Alabama,2018,2,88440 ,4
Alabama,2018,3,88903 ,4
Alabama,2018,4,89251 ,4
Alabama,2018,5,89436 ,4
Alabama,2018,6,89286 ,4
Alabama,2018,7,88697 ,4
Alabama,2018,8,87982 ,3.9
Alabama,2018,9,87344 ,3.9
Alabama,2018,10,86770 ,3.9
Alabama,2018,11,86179 ,3.8
Alabama,2018,12,85331 ,3.8
Alabama,2019,1,83814 ,3.7
Alabama,2019,2,81294 ,3.6
Alabama,2019,3,78061 ,3.4
Alabama,2019,4,74592 ,3.3
Alabama,2019,5,71409 ,3.1
Alabama,2019,6,68994 ,3
Alabama,2019,7,67665 ,3
Alabama,2019,8,67316 ,3
Alabama,2019,9,67468 ,3
Alabama,2019,10,68160 ,3
Alabama,2019,11,69260 ,3
Alabama,2019,12,70683 ,3.1
Alabama,2020,1,72359 ,3.2
Alabama,2020,2,74179 ,3.3
Alabama,2020,3,75627 ,3.4
Alabama,2020,4,302879 ,13.8
Alabama,2020,5,236201 ,10.4
Alabama,2020,6,195239 ,8.6
Alabama,2020,7,171646 ,7.5
Alabama,2020,8,144864 ,6.3
Alabama,2020,9,135325 ,5.9
Alabama,2020,10,120015 ,5.3
Alabama,2020,11,110565 ,4.9
Alabama,2020,12,102843 ,4.5
Alabama,2021,1,93933 ,4.2
Alabama,2021,2,88279 ,3.9
Alabama,2021,3,84349 ,3.7
Alabama,2021,4,82277 ,3.6
Alabama,2021,5,79789 ,3.5
Alabama,2021,6,78099 ,3.5
Alabama,2021,7,75298 ,3.3
Alabama,2021,8,72222 ,3.2
Alabama,2021,9,68968 ,3.1
Alabama,2021,10,66369 ,2.9
Alabama,2021,11,63786 ,2.8
Alabama,2021,12,61832 ,2.7
Alabama,2022,1,60270 ,2.6
Alabama,2022,2,58943 ,2.6
Alabama,2022,3,58074 ,2.5
Alabama,2022,4,57712 ,2.5
Alabama,2022,5,57866 ,2.5
Alabama,2022,6,58505 ,2.6
Alabama,2022,7,59409 ,2.6
Alabama,2022,8,60200 ,2.6
Alabama,2022,9,60488 ,2.6
Alabama,2022,10,60443 ,2.6
Alabama,2022,11,60169 ,2.6
Alabama,2022,12,59986 ,2.6
Alabama,2023,1,58392 ,2.6
Alabama,2023,2,56166 ,2.5
Alabama,2023,3,53017 ,2.3
Alabama,2023,4,51448 ,2.2
Alabama,2023,5,51419 ,2.2
Alabama,2023,6,50377 ,2.2
Alabama,2023,7,48789 ,2.1
Alabama,2023,8,48590 ,2.1
Alabama,2023,9,50179 ,2.2
Alaska,2014,1,25231 ,6.9
Alaska,2014,2,25176 ,6.9
Alaska,2014,3,25138 ,6.9
Alaska,2014,4,25153 ,6.9
Alaska,2014,5,25156 ,6.9
Alaska,2014,6,25084 ,6.9
Alaska,2014,7,24924 ,6.8
Alaska,2014,8,24668 ,6.8
Alaska,2014,9,24290 ,6.7
Alaska,2014,10,23794 ,6.5
Alaska,2014,11,23268 ,6.4
Alaska,2014,12,22868 ,6.3
Alaska,2015,1,22688 ,6.2
Alaska,2015,2,22719 ,6.3
Alaska,2015,3,22831 ,6.3
Alaska,2015,4,22879 ,6.3
Alaska,2015,5,22821 ,6.3
Alaska,2015,6,22690 ,6.3
Alaska,2015,7,22576 ,6.2
Alaska,2015,8,22544 ,6.2
Alaska,2015,9,22586 ,6.2
Alaska,2015,10,22697 ,6.3
Alaska,2015,11,22877 ,6.3
Alaska,2015,12,23088 ,6.4
Alaska,2016,1,23272 ,6.4
Alaska,2016,2,23424 ,6.5
Alaska,2016,3,23542 ,6.5
Alaska,2016,4,23662 ,6.5
Alaska,2016,5,23805 ,6.6
Alaska,2016,6,23939 ,6.6
Alaska,2016,7,24029 ,6.6
Alaska,2016,8,24091 ,6.7
Alaska,2016,9,24175 ,6.7
Alaska,2016,10,24242 ,6.7
Alaska,2016,11,24231 ,6.7
Alaska,2016,12,24131 ,6.7
Alaska,2017,1,23906 ,6.6
Alaska,2017,2,23710 ,6.6
Alaska,2017,3,23560 ,6.5
Alaska,2017,4,23491 ,6.5
Alaska,2017,5,23470 ,6.5
Alaska,2017,6,23481 ,6.5
Alaska,2017,7,23513 ,6.5
Alaska,2017,8,23516 ,6.5
Alaska,2017,9,23468 ,6.5
Alaska,2017,10,23350 ,6.5
Alaska,2017,11,23172 ,6.5
Alaska,2017,12,22910 ,6.4
Alaska,2018,1,22836 ,6.4
Alaska,2018,2,22475 ,6.3
Alaska,2018,3,22075 ,6.2
Alaska,2018,4,21669 ,6.1
Alaska,2018,5,21332 ,6
Alaska,2018,6,21092 ,5.9
Alaska,2018,7,20923 ,5.9
Alaska,2018,8,20853 ,5.9
Alaska,2018,9,20907 ,5.9
Alaska,2018,10,21055 ,5.9
Alaska,2018,11,21201 ,6
Alaska,2018,12,21213 ,6
Alaska,2019,1,21029 ,6
Alaska,2019,2,20657 ,5.9
Alaska,2019,3,20234 ,5.7
Alaska,2019,4,19898 ,5.6
Alaska,2019,5,19722 ,5.6
Alaska,2019,6,19702 ,5.6
Alaska,2019,7,19766 ,5.6
Alaska,2019,8,19771 ,5.6
Alaska,2019,9,19531 ,5.5
Alaska,2019,10,19156 ,5.4
Alaska,2019,11,18851 ,5.3
Alaska,2019,12,18771 ,5.3
Alaska,2020,1,18930 ,5.4
Alaska,2020,2,19194 ,5.4
Alaska,2020,3,19306 ,5.5
Alaska,2020,4,39903 ,11.8
Alaska,2020,5,41323 ,11.9
Alaska,2020,6,39690 ,11.4
Alaska,2020,7,39824 ,11.3
Alaska,2020,8,26036 ,7.6
Alaska,2020,9,26113 ,7.6
Alaska,2020,10,25208 ,7.3
Alaska,2020,11,25028 ,7.2
Alaska,2020,12,25318 ,7.3
Alaska,2021,1,24765 ,7.1
Alaska,2021,2,24661 ,7.1
Alaska,2021,3,24722 ,7
Alaska,2021,4,24780 ,7
Alaska,2021,5,24045 ,6.8
Alaska,2021,6,24060 ,6.8
Alaska,2021,7,22903 ,6.5
Alaska,2021,8,22175 ,6.3
Alaska,2021,9,21003 ,5.9
Alaska,2021,10,20462 ,5.8
Alaska,2021,11,19605 ,5.5
Alaska,2021,12,19124 ,5.4
Alaska,2022,1,18290 ,5.1
Alaska,2022,2,16732 ,4.7
Alaska,2022,3,15367 ,4.3
Alaska,2022,4,14547 ,4.1
Alaska,2022,5,14039 ,3.9
Alaska,2022,6,13769 ,3.9
Alaska,2022,7,13425 ,3.8
Alaska,2022,8,12932 ,3.6
Alaska,2022,9,13327 ,3.7
Alaska,2022,10,13451 ,3.8
Alaska,2022,11,13344 ,3.7
Alaska,2022,12,13249 ,3.7
Alaska,2023,1,13443 ,3.8
Alaska,2023,2,13576 ,3.8
Alaska,2023,3,13244 ,3.7
Alaska,2023,4,13076 ,3.7
Alaska,2023,5,12931 ,3.6
Alaska,2023,6,13089 ,3.7
Alaska,2023,7,13433 ,3.8
Alaska,2023,8,14081 ,3.9
Alaska,2023,9,14806 ,4.1
Arizona,2014,1,223010 ,7.2
Arizona,2014,2,219927 ,7.1
Arizona,2014,3,217335 ,7
Arizona,2014,4,215233 ,6.9
Arizona,2014,5,213351 ,6.9
Arizona,2014,6,211695 ,6.8
Arizona,2014,7,210421 ,6.7
Arizona,2014,8,209636 ,6.7
Arizona,2014,9,209117 ,6.7
Arizona,2014,10,207979 ,6.6
Arizona,2014,11,205975 ,6.5
Arizona,2014,12,203675 ,6.4
Arizona,2015,1,201312 ,6.4
Arizona,2015,2,199308 ,6.3
Arizona,2015,3,197683 ,6.2
Arizona,2015,4,196399 ,6.2
Arizona,2015,5,195429 ,6.1
Arizona,2015,6,194620 ,6.1
Arizona,2015,7,193875 ,6.1
Arizona,2015,8,192937 ,6
Arizona,2015,9,191415 ,6
Arizona,2015,10,189396 ,5.9
Arizona,2015,11,187313 ,5.8
Arizona,2015,12,185261 ,5.8
Arizona,2016,1,183398 ,5.7
Arizona,2016,2,181935 ,5.6
Arizona,2016,3,180739 ,5.6
Arizona,2016,4,179836 ,5.6
Arizona,2016,5,179269 ,5.5
Arizona,2016,6,178813 ,5.5
Arizona,2016,7,178110 ,5.5
Arizona,2016,8,177217 ,5.4
Arizona,2016,9,176498 ,5.4
Arizona,2016,10,175848 ,5.4
Arizona,2016,11,174890 ,5.3
Arizona,2016,12,173594 ,5.3
Arizona,2017,1,167446 ,5.2
Arizona,2017,2,165647 ,5.2
Arizona,2017,3,163838 ,5.1
Arizona,2017,4,162116 ,5
Arizona,2017,5,160339 ,5
Arizona,2017,6,158787 ,4.9
Arizona,2017,7,157870 ,4.9
Arizona,2017,8,157569 ,4.8
Arizona,2017,9,157784 ,4.9
Arizona,2017,10,158229 ,4.9
Arizona,2017,11,158712 ,4.9
Arizona,2017,12,158690 ,4.9
Arizona,2018,1,159220 ,4.9
Arizona,2018,2,158351 ,4.8
Arizona,2018,3,156976 ,4.8
Arizona,2018,4,155454 ,4.7
Arizona,2018,5,154544 ,4.7
Arizona,2018,6,154634 ,4.7
Arizona,2018,7,155804 ,4.7
Arizona,2018,8,158324 ,4.7
Arizona,2018,9,161899 ,4.8
Arizona,2018,10,165663 ,4.9
Arizona,2018,11,168668 ,5
Arizona,2018,12,170285 ,5
Arizona,2019,1,170397 ,5
Arizona,2019,2,169073 ,5
Arizona,2019,3,167148 ,4.9
Arizona,2019,4,165170 ,4.8
Arizona,2019,5,163654 ,4.8
Arizona,2019,6,163095 ,4.8
Arizona,2019,7,163456 ,4.8
Arizona,2019,8,164044 ,4.8
Arizona,2019,9,163834 ,4.7
Arizona,2019,10,163551 ,4.7
Arizona,2019,11,163824 ,4.7
Arizona,2019,12,164756 ,4.7
Arizona,2020,1,166063 ,4.8
Arizona,2020,2,168057 ,4.8
Arizona,2020,3,170629 ,4.9
Arizona,2020,4,468096 ,13.8
Arizona,2020,5,384157 ,11.2
Arizona,2020,6,335659 ,9.7
Arizona,2020,7,309938 ,8.9
Arizona,2020,8,276498 ,8
Arizona,2020,9,264193 ,7.6
Arizona,2020,10,246319 ,7
Arizona,2020,11,237060 ,6.8
Arizona,2020,12,231503 ,6.6
Arizona,2021,1,223663 ,6.4
Arizona,2021,2,218253 ,6.2
Arizona,2021,3,211055 ,6
Arizona,2021,4,203765 ,5.8
Arizona,2021,5,194398 ,5.5
Arizona,2021,6,185648 ,5.2
Arizona,2021,7,175273 ,5
Arizona,2021,8,164478 ,4.7
Arizona,2021,9,153890 ,4.4
Arizona,2021,10,145142 ,4.1
Arizona,2021,11,138106 ,3.9
Arizona,2021,12,132970 ,3.7
Arizona,2022,1,130015 ,3.6
Arizona,2022,2,128291 ,3.6
Arizona,2022,3,128099 ,3.6
Arizona,2022,4,129360 ,3.6
Arizona,2022,5,131973 ,3.7
Arizona,2022,6,135976 ,3.8
Arizona,2022,7,140677 ,3.9
Arizona,2022,8,144807 ,4
Arizona,2022,9,147163 ,4
Arizona,2022,10,147760 ,4.1
Arizona,2022,11,146723 ,4
Arizona,2022,12,145861 ,4
Arizona,2023,1,140410 ,3.8
Arizona,2023,2,134816 ,3.7
Arizona,2023,3,129439 ,3.5
Arizona,2023,4,125705 ,3.4
Arizona,2023,5,125407 ,3.4
Arizona,2023,6,128139 ,3.5
Arizona,2023,7,134610 ,3.6
Arizona,2023,8,141617 ,3.8
Arizona,2023,9,147804 ,4
Arkansas,2014,1,85449 ,6.5
Arkansas,2014,2,83382 ,6.3
Arkansas,2014,3,81539 ,6.2
Arkansas,2014,4,80083 ,6
Arkansas,2014,5,78890 ,6
Arkansas,2014,6,77864 ,5.9
Arkansas,2014,7,76982 ,5.8
Arkansas,2014,8,76296 ,5.7
Arkansas,2014,9,75726 ,5.7
Arkansas,2014,10,75026 ,5.6
Arkansas,2014,11,74203 ,5.6
Arkansas,2014,12,73525 ,5.5
Arkansas,2015,1,73083 ,5.5
Arkansas,2015,2,72785 ,5.4
Arkansas,2015,3,72283 ,5.4
Arkansas,2015,4,71310 ,5.3
Arkansas,2015,5,69846 ,5.2
Arkansas,2015,6,67999 ,5.1
Arkansas,2015,7,65985 ,4.9
Arkansas,2015,8,63983 ,4.8
Arkansas,2015,9,62078 ,4.6
Arkansas,2015,10,60403 ,4.5
Arkansas,2015,11,58954 ,4.4
Arkansas,2015,12,57606 ,4.3
Arkansas,2016,1,56352 ,4.2
Arkansas,2016,2,55291 ,4.1
Arkansas,2016,3,54445 ,4
Arkansas,2016,4,53912 ,4
Arkansas,2016,5,53678 ,4
Arkansas,2016,6,53578 ,4
Arkansas,2016,7,53448 ,4
Arkansas,2016,8,53234 ,4
Arkansas,2016,9,53000 ,3.9
Arkansas,2016,10,52660 ,3.9
Arkansas,2016,11,52152 ,3.9
Arkansas,2016,12,51526 ,3.8
Arkansas,2017,1,50637 ,3.8
Arkansas,2017,2,50016 ,3.7
Arkansas,2017,3,49600 ,3.7
Arkansas,2017,4,49438 ,3.7
Arkansas,2017,5,49472 ,3.7
Arkansas,2017,6,49712 ,3.7
Arkansas,2017,7,50109 ,3.7
Arkansas,2017,8,50518 ,3.7
Arkansas,2017,9,50818 ,3.8
Arkansas,2017,10,50956 ,3.8
Arkansas,2017,11,51019 ,3.8
Arkansas,2017,12,50948 ,3.8
Arkansas,2018,1,51014 ,3.8
Arkansas,2018,2,50729 ,3.8
Arkansas,2018,3,50183 ,3.7
Arkansas,2018,4,49350 ,3.7
Arkansas,2018,5,48463 ,3.6
Arkansas,2018,6,47748 ,3.6
Arkansas,2018,7,47366 ,3.5
Arkansas,2018,8,47510 ,3.5
Arkansas,2018,9,48214 ,3.6
Arkansas,2018,10,49178 ,3.7
Arkansas,2018,11,49938 ,3.7
Arkansas,2018,12,50149 ,3.7
Arkansas,2019,1,49673 ,3.7
Arkansas,2019,2,48611 ,3.6
Arkansas,2019,3,47386 ,3.5
Arkansas,2019,4,46344 ,3.4
Arkansas,2019,5,45752 ,3.4
Arkansas,2019,6,45766 ,3.4
Arkansas,2019,7,46353 ,3.4
Arkansas,2019,8,47181 ,3.5
Arkansas,2019,9,47704 ,3.5
Arkansas,2019,10,47903 ,3.5
Arkansas,2019,11,47905 ,3.5
Arkansas,2019,12,47841 ,3.5
Arkansas,2020,1,47831 ,3.5
Arkansas,2020,2,48068 ,3.6
Arkansas,2020,3,67110 ,4.9
Arkansas,2020,4,137037 ,10.1
Arkansas,2020,5,119618 ,8.9
Arkansas,2020,6,105896 ,7.9
Arkansas,2020,7,98244 ,7.3
Arkansas,2020,8,85765 ,6.4
Arkansas,2020,9,80474 ,6
Arkansas,2020,10,73157 ,5.5
Arkansas,2020,11,69792 ,5.2
Arkansas,2020,12,67769 ,5.1
Arkansas,2021,1,65309 ,4.9
Arkansas,2021,2,63832 ,4.8
Arkansas,2021,3,62154 ,4.7
Arkansas,2021,4,60286 ,4.5
Arkansas,2021,5,57868 ,4.3
Arkansas,2021,6,55906 ,4.2
Arkansas,2021,7,53035 ,4
Arkansas,2021,8,50567 ,3.8
Arkansas,2021,9,48175 ,3.6
Arkansas,2021,10,46500 ,3.5
Arkansas,2021,11,45088 ,3.3
Arkansas,2021,12,44158 ,3.3
Arkansas,2022,1,43801 ,3.2
Arkansas,2022,2,43366 ,3.2
Arkansas,2022,3,43062 ,3.1
Arkansas,2022,4,43104 ,3.1
Arkansas,2022,5,43523 ,3.2
Arkansas,2022,6,44377 ,3.2
Arkansas,2022,7,45564 ,3.3
Arkansas,2022,8,46810 ,3.4
Arkansas,2022,9,47598 ,3.5
Arkansas,2022,10,47962 ,3.5
Arkansas,2022,11,47676 ,3.5
Arkansas,2022,12,47352 ,3.4
Arkansas,2023,1,46604 ,3.4
Arkansas,2023,2,43670 ,3.2
Arkansas,2023,3,40868 ,3
Arkansas,2023,4,39021 ,2.8
Arkansas,2023,5,37133 ,2.7
Arkansas,2023,6,35880 ,2.6
Arkansas,2023,7,35624 ,2.6
Arkansas,2023,8,37339 ,2.7
Arkansas,2023,9,39900 ,2.9
California,2014,1,1529097 ,8.2
California,2014,2,1504882 ,8.1
California,2014,3,1481678 ,8
California,2014,4,1460302 ,7.8
California,2014,5,1438754 ,7.7
California,2014,6,1417330 ,7.6
California,2014,7,1397599 ,7.5
California,2014,8,1380808 ,7.4
California,2014,9,1365439 ,7.3
California,2014,10,1346860 ,7.2
California,2014,11,1323788 ,7.1
California,2014,12,1300776 ,6.9
California,2015,1,1280942 ,6.8
California,2015,2,1265047 ,6.7
California,2015,3,1249688 ,6.6
California,2015,4,1231739 ,6.5
California,2015,5,1209970 ,6.4
California,2015,6,1184713 ,6.3
California,2015,7,1158791 ,6.2
California,2015,8,1135396 ,6
California,2015,9,1115327 ,5.9
California,2015,10,1099919 ,5.8
California,2015,11,1089888 ,5.8
California,2015,12,1082097 ,5.7
California,2016,1,1074186 ,5.7
California,2016,2,1066317 ,5.6
California,2016,3,1058236 ,5.6
California,2016,4,1051594 ,5.5
California,2016,5,1048270 ,5.5
California,2016,6,1047392 ,5.5
California,2016,7,1047018 ,5.5
California,2016,8,1046432 ,5.5
California,2016,9,1046026 ,5.5
California,2016,10,1043344 ,5.5
California,2016,11,1035290 ,5.4
California,2016,12,1021682 ,5.4
California,2017,1,1002904 ,5.2
California,2017,2,983594 ,5.1
California,2017,3,966105 ,5
California,2017,4,952330 ,5
California,2017,5,941208 ,4.9
California,2017,6,932076 ,4.9
California,2017,7,924084 ,4.8
California,2017,8,914397 ,4.8
California,2017,9,902106 ,4.7
California,2017,10,887471 ,4.6
California,2017,11,872287 ,4.5
California,2017,12,857119 ,4.5
California,2018,1,844210 ,4.4
California,2018,2,834737 ,4.3
California,2018,3,826268 ,4.3
California,2018,4,817547 ,4.2
California,2018,5,809966 ,4.2
California,2018,6,804603 ,4.2
California,2018,7,801807 ,4.2
California,2018,8,804087 ,4.2
California,2018,9,812030 ,4.2
California,2018,10,823522 ,4.3
California,2018,11,835034 ,4.3
California,2018,12,841563 ,4.3
California,2019,1,839508 ,4.3
California,2019,2,827951 ,4.3
California,2019,3,811043 ,4.2
California,2019,4,792788 ,4.1
California,2019,5,777531 ,4
California,2019,6,769152 ,4
California,2019,7,768941 ,4
California,2019,8,774078 ,4
California,2019,9,778843 ,4
California,2019,10,785793 ,4
California,2019,11,797181 ,4.1
California,2019,12,814359 ,4.2
California,2020,1,836213 ,4.3
California,2020,2,860763 ,4.4
California,2020,3,1064166 ,5.5
California,2020,4,3018611 ,16.1
California,2020,5,2922491 ,15.7
California,2020,6,2626144 ,13.8
California,2020,7,2513656 ,13.2
California,2020,8,2252905 ,11.9
California,2020,9,1866909 ,10
California,2020,10,1738494 ,9.3
California,2020,11,1695472 ,9.1
California,2020,12,1695633 ,9.1
California,2021,1,1634650 ,8.7
California,2021,2,1604604 ,8.5
California,2021,3,1582228 ,8.4
California,2021,4,1560629 ,8.2
California,2021,5,1495656 ,7.9
California,2021,6,1482661 ,7.8
California,2021,7,1401690 ,7.4
California,2021,8,1340235 ,7
California,2021,9,1244003 ,6.5
California,2021,10,1178048 ,6.2
California,2021,11,1097196 ,5.8
California,2021,12,1047919 ,5.5
California,2022,1,994165 ,5.2
California,2022,2,909437 ,4.7
California,2022,3,837088 ,4.4
California,2022,4,791466 ,4.1
California,2022,5,760435 ,4
California,2022,6,743821 ,3.9
California,2022,7,732210 ,3.8
California,2022,8,723589 ,3.8
California,2022,9,769532 ,4
California,2022,10,798481 ,4.1
California,2022,11,797702 ,4.1
California,2022,12,790262 ,4.1
California,2023,1,813818 ,4.2
California,2023,2,841703 ,4.4
California,2023,3,860202 ,4.4
California,2023,4,868102 ,4.5
California,2023,5,883375 ,4.5
California,2023,6,889335 ,4.6
California,2023,7,884871 ,4.6
California,2023,8,895044 ,4.6
California,2023,9,913628 ,4.7
Colorado,2014,1,165614 ,6
Colorado,2014,2,161872 ,5.8
Colorado,2014,3,157441 ,5.6
Colorado,2014,4,152260 ,5.4
Colorado,2014,5,146211 ,5.2
Colorado,2014,6,139731 ,5
Colorado,2014,7,133711 ,4.8
Colorado,2014,8,128935 ,4.6
Colorado,2014,9,125349 ,4.5
Colorado,2014,10,122535 ,4.4
Colorado,2014,11,120023 ,4.3
Colorado,2014,12,117857 ,4.2
Colorado,2015,1,116435 ,4.1
Colorado,2015,2,115506 ,4.1
Colorado,2015,3,114337 ,4.1
Colorado,2015,4,112510 ,4
Colorado,2015,5,109954 ,3.9
Colorado,2015,6,106790 ,3.8
Colorado,2015,7,103480 ,3.7
Colorado,2015,8,100491 ,3.6
Colorado,2015,9,98064 ,3.5
Colorado,2015,10,96382 ,3.4
Colorado,2015,11,95463 ,3.4
Colorado,2015,12,95069 ,3.3
Colorado,2016,1,94864 ,3.3
Colorado,2016,2,94786 ,3.3
Colorado,2016,3,94744 ,3.3
Colorado,2016,4,94672 ,3.3
Colorado,2016,5,94485 ,3.3
Colorado,2016,6,93893 ,3.2
Colorado,2016,7,92546 ,3.2
Colorado,2016,8,90617 ,3.1
Colorado,2016,9,88574 ,3
Colorado,2016,10,86273 ,3
Colorado,2016,11,83387 ,2.9
Colorado,2016,12,80061 ,2.7
Colorado,2017,1,75816 ,2.6
Colorado,2017,2,72944 ,2.5
Colorado,2017,3,71179 ,2.4
Colorado,2017,4,70814 ,2.4
Colorado,2017,5,71880 ,2.4
Colorado,2017,6,74238 ,2.5
Colorado,2017,7,77420 ,2.6
Colorado,2017,8,80383 ,2.7
Colorado,2017,9,82498 ,2.8
Colorado,2017,10,83840 ,2.8
Colorado,2017,11,84738 ,2.8
Colorado,2017,12,85231 ,2.8
Colorado,2018,1,87067 ,2.9
Colorado,2018,2,87708 ,2.9
Colorado,2018,3,88829 ,2.9
Colorado,2018,4,90421 ,3
Colorado,2018,5,92216 ,3
Colorado,2018,6,93830 ,3.1
Colorado,2018,7,95091 ,3.1
Colorado,2018,8,96078 ,3.1
Colorado,2018,9,96738 ,3.2
Colorado,2018,10,96742 ,3.2
Colorado,2018,11,95959 ,3.1
Colorado,2018,12,94311 ,3.1
Colorado,2019,1,91873 ,3
Colorado,2019,2,88618 ,2.9
Colorado,2019,3,84974 ,2.7
Colorado,2019,4,81629 ,2.6
Colorado,2019,5,79184 ,2.6
Colorado,2019,6,78003 ,2.5
Colorado,2019,7,78000 ,2.5
Colorado,2019,8,78754 ,2.5
Colorado,2019,9,79726 ,2.6
Colorado,2019,10,81480 ,2.6
Colorado,2019,11,84457 ,2.7
Colorado,2019,12,88661 ,2.8
Colorado,2020,1,93695 ,3
Colorado,2020,2,99017 ,3.2
Colorado,2020,3,103732 ,3.3
Colorado,2020,4,335189 ,11.1
Colorado,2020,5,360803 ,11.6
Colorado,2020,6,348778 ,11.2
Colorado,2020,7,193994 ,6.4
Colorado,2020,8,187963 ,6.2
Colorado,2020,9,194682 ,6.3
Colorado,2020,10,191551 ,6.2
Colorado,2020,11,193924 ,6.3
Colorado,2020,12,198646 ,6.4
Colorado,2021,1,195325 ,6.3
Colorado,2021,2,195834 ,6.3
Colorado,2021,3,192753 ,6.1
Colorado,2021,4,192130 ,6.1
Colorado,2021,5,184867 ,5.9
Colorado,2021,6,184372 ,5.8
Colorado,2021,7,177137 ,5.6
Colorado,2021,8,169286 ,5.3
Colorado,2021,9,154431 ,4.9
Colorado,2021,10,147365 ,4.6
Colorado,2021,11,140317 ,4.4
Colorado,2021,12,134119 ,4.2
Colorado,2022,1,127009 ,4
Colorado,2022,2,115466 ,3.6
Colorado,2022,3,104801 ,3.3
Colorado,2022,4,98579 ,3.1
Colorado,2022,5,94133 ,2.9
Colorado,2022,6,90170 ,2.8
Colorado,2022,7,86888 ,2.7
Colorado,2022,8,83483 ,2.6
Colorado,2022,9,88338 ,2.8
Colorado,2022,10,90735 ,2.8
Colorado,2022,11,90091 ,2.8
Colorado,2022,12,89130 ,2.8
Colorado,2023,1,90436 ,2.8
Colorado,2023,2,92704 ,2.9
Colorado,2023,3,91077 ,2.8
Colorado,2023,4,89371 ,2.8
Colorado,2023,5,90045 ,2.8
Colorado,2023,6,91706 ,2.8
Colorado,2023,7,95121 ,2.9
Colorado,2023,8,99856 ,3.1
Colorado,2023,9,103493 ,3.2
Connecticut,2014,1,135383 ,7.2
Connecticut,2014,2,132858 ,7.1
Connecticut,2014,3,130587 ,6.9
Connecticut,2014,4,128701 ,6.8
Connecticut,2014,5,127014 ,6.7
Connecticut,2014,6,125473 ,6.6
Connecticut,2014,7,124098 ,6.6
Connecticut,2014,8,122840 ,6.5
Connecticut,2014,9,121516 ,6.4
Connecticut,2014,10,119733 ,6.3
Connecticut,2014,11,117468 ,6.2
Connecticut,2014,12,115223 ,6.1
Connecticut,2015,1,113331 ,6
Connecticut,2015,2,111920 ,5.9
Connecticut,2015,3,110709 ,5.8
Connecticut,2015,4,109449 ,5.8
Connecticut,2015,5,108040 ,5.7
Connecticut,2015,6,106471 ,5.6
Connecticut,2015,7,104969 ,5.6
Connecticut,2015,8,103741 ,5.5
Connecticut,2015,9,102680 ,5.4
Connecticut,2015,10,101756 ,5.4
Connecticut,2015,11,100981 ,5.4
Connecticut,2015,12,100081 ,5.3
Connecticut,2016,1,98894 ,5.2
Connecticut,2016,2,97497 ,5.2
Connecticut,2016,3,95952 ,5.1
Connecticut,2016,4,94466 ,5
Connecticut,2016,5,93189 ,4.9
Connecticut,2016,6,92041 ,4.9
Connecticut,2016,7,90867 ,4.8
Connecticut,2016,8,89777 ,4.7
Connecticut,2016,9,89049 ,4.7
Connecticut,2016,10,88578 ,4.7
Connecticut,2016,11,88136 ,4.6
Connecticut,2016,12,87690 ,4.6
Connecticut,2017,1,87868 ,4.6
Connecticut,2017,2,87338 ,4.5
Connecticut,2017,3,86788 ,4.5
Connecticut,2017,4,86221 ,4.5
Connecticut,2017,5,85598 ,4.4
Connecticut,2017,6,85043 ,4.4
Connecticut,2017,7,84642 ,4.4
Connecticut,2017,8,84227 ,4.4
Connecticut,2017,9,83726 ,4.4
Connecticut,2017,10,83130 ,4.3
Connecticut,2017,11,82468 ,4.3
Connecticut,2017,12,81599 ,4.3
Connecticut,2018,1,79987 ,4.2
