State and area,Year,Quarter,Total,Rate
Arkansas,2018,4,149265,3.7000000000000006
Arkansas,2019,1,145670,3.6
Arkansas,2019,2,137862,3.4
Arkansas,2019,3,141238,3.466666666666667
Arkansas,2019,4,143649,3.5
Arkansas,2020,1,163009,4.0
Arkansas,2020,2,362551,8.966666666666667
Arkansas,2020,3,264483,6.566666666666666
Arkansas,2020,4,210718,5.266666666666667
Arkansas,2021,1,191295,4.8
Arkansas,2021,2,174060,4.333333333333333
Arkansas,2021,3,151777,3.8000000000000003
Arkansas,2021,4,135746,3.3666666666666667
Arkansas,2022,1,130229,3.1666666666666665
Arkansas,2022,2,131004,3.1666666666666665
Arkansas,2022,3,139972,3.4
Arkansas,2022,4,142990,3.466666666666667
Arkansas,2023,1,131142,3.1999999999999997
Arkansas,2023,2,112034,2.6999999999999997
Arkansas,2023,3,112863,2.733333333333333
California,2014,1,4515657,8.1
California,2014,2,4316386,7.7
California,2014,3,4143846,7.3999999999999995
California,2014,4,3971424,7.066666666666666
California,2015,1,3795677,6.7
California,2015,2,3626422,6.3999999999999995
California,2015,3,3409514,6.033333333333334
California,2015,4,3271904,5.766666666666667
California,2016,1,3198739,5.633333333333333
California,2016,2,3147256,5.5
California,2016,3,3139476,5.5
California,2016,4,3100316,5.433333333333334
California,2017,1,2952603,5.1000000000000005
California,2017,2,2825614,4.933333333333334
California,2017,3,2740587,4.766666666666667
California,2017,4,2616877,4.533333333333333
California,2018,1,2505215,4.333333333333333
California,2018,2,2432116,4.2
California,2018,3,2417924,4.2
California,2018,4,2500119,4.3
California,2019,1,2478502,4.266666666666667
California,2019,2,2339471,4.033333333333333
California,2019,3,2321862,4.0
California,2019,4,2397333,4.1000000000000005
California,2020,1,2761142,4.733333333333333
California,2020,2,8567246,15.200000000000001
California,2020,3,6633470,11.700000000000001
California,2020,4,5129599,9.166666666666666
California,2021,1,4821482,8.533333333333333
California,2021,2,4538946,7.966666666666666
California,2021,3,3985928,6.966666666666666
California,2021,4,3323163,5.833333333333333
California,2022,1,2740690,4.766666666666667
California,2022,2,2295722,4.0
California,2022,3,2225331,3.8666666666666667
California,2022,4,2386445,4.1
California,2023,1,2515723,4.333333333333333
California,2023,2,2640812,4.533333333333333
California,2023,3,2693543,4.633333333333333
Colorado,2014,1,484927,5.8
Colorado,2014,2,438202,5.2
Colorado,2014,3,387995,4.633333333333333
Colorado,2014,4,360415,4.3
Colorado,2015,1,346278,4.1
Colorado,2015,2,329254,3.9
Colorado,2015,3,302035,3.6
Colorado,2015,4,286914,3.3666666666666667
Colorado,2016,1,284394,3.2999999999999994
Colorado,2016,2,283050,3.266666666666667
Colorado,2016,3,271737,3.1
Colorado,2016,4,249721,2.8666666666666667
Colorado,2017,1,219939,2.5
Colorado,2017,2,216932,2.433333333333333
Colorado,2017,3,240301,2.6999999999999997
Colorado,2017,4,253809,2.7999999999999994
Colorado,2018,1,263604,2.9
Colorado,2018,2,276467,3.033333333333333
Colorado,2018,3,287907,3.1333333333333333
Colorado,2018,4,287012,3.1333333333333333
Colorado,2019,1,265465,2.8666666666666667
Colorado,2019,2,238816,2.566666666666667
Colorado,2019,3,236480,2.533333333333333
Colorado,2019,4,254598,2.6999999999999997
Colorado,2020,1,296444,3.1666666666666665
Colorado,2020,2,1044770,11.299999999999999
Colorado,2020,3,576639,6.3
Colorado,2020,4,584121,6.3
Colorado,2021,1,583912,6.233333333333333
Colorado,2021,2,561369,5.933333333333334
Colorado,2021,3,500854,5.266666666666667
Colorado,2021,4,421801,4.3999999999999995
Colorado,2022,1,347276,3.6333333333333333
Colorado,2022,2,282882,2.9333333333333336
Colorado,2022,3,258709,2.6999999999999997
Colorado,2022,4,269956,2.7999999999999994
Colorado,2023,1,274217,2.8333333333333335
Colorado,2023,2,271122,2.7999999999999994
Colorado,2023,3,298470,3.0666666666666664
Connecticut,2014,1,398828,7.066666666666666
Connecticut,2014,2,381188,6.7
Connecticut,2014,3,368454,6.5
Connecticut,2014,4,352424,6.2
Connecticut,2015,1,335960,5.8999999999999995
Connecticut,2015,2,323960,5.7
Connecticut,2015,3,311390,5.5
Connecticut,2015,4,302818,5.366666666666667
Connecticut,2016,1,292343,5.166666666666667
Connecticut,2016,2,279696,4.933333333333334
Connecticut,2016,3,269693,4.733333333333333
Connecticut,2016,4,264404,4.633333333333333
Connecticut,2017,1,261994,4.533333333333333
Connecticut,2017,2,256862,4.433333333333334
Connecticut,2017,3,252595,4.4
Connecticut,2017,4,247197,4.3
Connecticut,2018,1,236617,4.133333333333333
Connecticut,2018,2,225947,3.9333333333333336
Connecticut,2018,3,217835,3.766666666666667
Connecticut,2018,4,215353,3.7000000000000006
Connecticut,2019,1,209264,3.6333333333333333
Connecticut,2019,2,202498,3.5
Connecticut,2019,3,208760,3.5666666666666664
Connecticut,2019,4,217355,3.733333333333333
Connecticut,2020,1,224017,3.8666666666666667
Connecticut,2020,2,592798,10.433333333333332
Connecticut,2020,3,564623,10.0
Connecticut,2020,4,415094,7.566666666666666
Connecticut,2021,1,378123,6.933333333333334
Connecticut,2021,2,368016,6.766666666666667
Connecticut,2021,3,343363,6.133333333333333
Connecticut,2021,4,306928,5.333333333333333
Connecticut,2022,1,268281,4.566666666666666
Connecticut,2022,2,239678,4.1000000000000005
Connecticut,2022,3,226380,3.966666666666667
Connecticut,2022,4,229541,4.0
Connecticut,2023,1,226441,3.9333333333333336
Connecticut,2023,2,213805,3.733333333333333
Connecticut,2023,3,201754,3.533333333333333
Delaware,2014,1,80012,5.966666666666666
Delaware,2014,2,78022,5.766666666666667
Delaware,2014,3,75028,5.5
Delaware,2014,4,70846,5.2
Delaware,2015,1,68153,4.933333333333334
Delaware,2015,2,67150,4.866666666666667
Delaware,2015,3,65836,4.733333333333333
Delaware,2015,4,64633,4.633333333333333
Delaware,2016,1,62853,4.466666666666667
Delaware,2016,2,62366,4.433333333333334
Delaware,2016,3,63898,4.533333333333333
Delaware,2016,4,65810,4.666666666666667
Delaware,2017,1,65776,4.633333333333333
Delaware,2017,2,64589,4.533333333333333
Delaware,2017,3,63243,4.433333333333334
Delaware,2017,4,61358,4.266666666666667
Delaware,2018,1,57703,4.0
Delaware,2018,2,54246,3.766666666666667
Delaware,2018,3,51429,3.5666666666666664
Delaware,2018,4,51009,3.5
Delaware,2019,1,51366,3.5
Delaware,2019,2,51513,3.533333333333333
Delaware,2019,3,53433,3.6666666666666665
Delaware,2019,4,53280,3.6666666666666665
Delaware,2020,1,59525,4.1000000000000005
Delaware,2020,2,192160,13.066666666666668
Delaware,2020,3,109295,7.5
Delaware,2020,4,78241,5.366666666666667
Delaware,2021,1,86032,5.8
Delaware,2021,2,87112,5.866666666666667
Delaware,2021,3,80540,5.433333333333334
Delaware,2021,4,72660,4.8999999999999995
Delaware,2022,1,67269,4.5
Delaware,2022,2,64617,4.3
Delaware,2022,3,66599,4.5
Delaware,2022,4,69234,4.666666666666667
Delaware,2023,1,67563,4.533333333333333
Delaware,2023,2,63460,4.233333333333333
Delaware,2023,3,62413,4.1
District of Columbia,2014,1,88631,7.866666666666667
District of Columbia,2014,2,88180,7.8
District of Columbia,2014,3,87912,7.666666666666667
District of Columbia,2014,4,86596,7.5
District of Columbia,2015,1,84470,7.3
District of Columbia,2015,2,81888,7.033333333333334
District of Columbia,2015,3,78945,6.766666666666667
District of Columbia,2015,4,76912,6.566666666666666
District of Columbia,2016,1,74164,6.3
District of Columbia,2016,2,72402,6.099999999999999
District of Columbia,2016,3,73924,6.233333333333333
District of Columbia,2016,4,75345,6.3
District of Columbia,2017,1,72999,6.233333333333333
District of Columbia,2017,2,72640,6.166666666666667
District of Columbia,2017,3,71664,6.066666666666666
District of Columbia,2017,4,70101,5.933333333333334
District of Columbia,2018,1,69322,5.833333333333333
District of Columbia,2018,2,67802,5.7
District of Columbia,2018,3,64882,5.5
District of Columbia,2018,4,67571,5.7
District of Columbia,2019,1,70380,5.866666666666667
District of Columbia,2019,2,66592,5.533333333333334
District of Columbia,2019,3,63150,5.266666666666667
District of Columbia,2019,4,63190,5.233333333333333
District of Columbia,2020,1,67843,5.633333333333333
District of Columbia,2020,2,109603,9.533333333333333
District of Columbia,2020,3,96717,8.466666666666667
District of Columbia,2020,4,89362,7.8999999999999995
District of Columbia,2021,1,80007,7.133333333333333
District of Columbia,2021,2,80390,7.1000000000000005
District of Columbia,2021,3,78122,6.833333333333333
District of Columbia,2021,4,71753,6.266666666666667
District of Columbia,2022,1,65122,5.6000000000000005
District of Columbia,2022,2,54139,4.633333333333334
District of Columbia,2022,3,47492,4.033333333333333
District of Columbia,2022,4,49010,4.2
District of Columbia,2023,1,54351,4.666666666666667
District of Columbia,2023,2,59157,5.066666666666666
District of Columbia,2023,3,58729,5.0
Florida,2014,1,1943956,6.8
Florida,2014,2,1883392,6.6000000000000005
Florida,2014,3,1812967,6.3
Florida,2014,4,1740169,6.033333333333334
Florida,2015,1,1678202,5.833333333333333
Florida,2015,2,1629646,5.666666666666667
Florida,2015,3,1566067,5.3999999999999995
Florida,2015,4,1514004,5.2
Florida,2016,1,1468866,5.033333333333333
Florida,2016,2,1438865,4.9
Florida,2016,3,1444829,4.9
Florida,2016,4,1435894,4.833333333333333
Florida,2017,1,1363107,4.6000000000000005
Florida,2017,2,1293733,4.333333333333333
Florida,2017,3,1257489,4.2
Florida,2017,4,1225199,4.066666666666666
Florida,2018,1,1171766,3.8666666666666667
Florida,2018,2,1120145,3.6999999999999997
Florida,2018,3,1071151,3.533333333333333
Florida,2018,4,1068581,3.5
Florida,2019,1,1053061,3.4333333333333336
Florida,2019,2,1010945,3.2999999999999994
Florida,2019,3,992926,3.2000000000000006
Florida,2019,4,953187,3.0666666666666664
Florida,2020,1,1025399,3.3333333333333335
Florida,2020,2,3866318,13.066666666666668
Florida,2020,3,2922917,9.6
Florida,2020,4,2038627,6.7
Florida,2021,1,1709248,5.6000000000000005
Florida,2021,2,1528366,4.933333333333334
Florida,2021,3,1363744,4.366666666666666
Florida,2021,4,1181113,3.733333333333333
Florida,2022,1,1052617,3.3000000000000003
Florida,2022,2,929242,2.9
Florida,2022,3,884968,2.7000000000000006
Florida,2022,4,882174,2.7000000000000006
Florida,2023,1,853429,2.6
Florida,2023,2,857763,2.6
Florida,2023,3,907724,2.733333333333333
Georgia,2014,1,1058508,7.433333333333334
Georgia,2014,2,1045560,7.333333333333333
Georgia,2014,3,1012163,7.1000000000000005
Georgia,2014,4,952834,6.7
Georgia,2015,1,907325,6.3999999999999995
Georgia,2015,2,876945,6.2
Georgia,2015,3,842012,5.933333333333334
Georgia,2015,4,820647,5.766666666666667
Georgia,2016,1,806585,5.666666666666667
Georgia,2016,2,794347,5.433333333333334
Georgia,2016,3,806840,5.400000000000001
Georgia,2016,4,814566,5.366666666666667
Georgia,2017,1,780443,5.1000000000000005
Georgia,2017,2,741715,4.833333333333333
Georgia,2017,3,712645,4.633333333333333
Georgia,2017,4,684708,4.466666666666667
Georgia,2018,1,649879,4.2
Georgia,2018,2,616558,4.0
Georgia,2018,3,593690,3.9
Georgia,2018,4,596651,3.9
Georgia,2019,1,581834,3.8000000000000003
Georgia,2019,2,553404,3.5666666666666664
Georgia,2019,3,543902,3.5
Georgia,2019,4,537007,3.4333333333333336
Georgia,2020,1,563349,3.6
Georgia,2020,2,1524603,10.166666666666666
Georgia,2020,3,1033021,6.933333333333334
Georgia,2020,4,822541,5.233333333333333
Georgia,2021,1,711725,4.6000000000000005
Georgia,2021,2,637958,4.1000000000000005
Georgia,2021,3,570231,3.6666666666666665
Georgia,2021,4,509919,3.3000000000000003
Georgia,2022,1,475174,3.033333333333333
Georgia,2022,2,463929,2.9333333333333336
Georgia,2022,3,481581,3.0666666666666664
Georgia,2022,4,486370,3.1
Georgia,2023,1,489563,3.1
Georgia,2023,2,505371,3.1666666666666665
Georgia,2023,3,522936,3.3000000000000003
Hawaii,2014,1,89431,4.5
Hawaii,2014,2,86554,4.366666666666667
Hawaii,2014,3,82830,4.133333333333333
Hawaii,2014,4,78927,3.9333333333333336
Hawaii,2015,1,75404,3.766666666666667
Hawaii,2015,2,70459,3.5
Hawaii,2015,3,66148,3.266666666666667
Hawaii,2015,4,63145,3.1333333333333333
Hawaii,2016,1,61167,3.0
Hawaii,2016,2,60404,2.966666666666667
Hawaii,2016,3,58386,2.8666666666666667
Hawaii,2016,4,55487,2.733333333333333
Hawaii,2017,1,53406,2.566666666666667
Hawaii,2017,2,49483,2.4
Hawaii,2017,3,41878,2.0
Hawaii,2017,4,39233,1.8999999999999997
